County,TotalPop,IncomePerCap,Poverty,Id,%Poverty,cases,deaths,TotalCases,TotalDeaths,TotalCasesper100k,TotalDeathsper100k
"Alleghany County, Virginia",15489,159188,105.1,50,0.678546065,86720,2766,86720,2766,0.8672,0.02766
"Allegheny County, Pennsylvania",1229605,13056610,6070.2,51,0.493670732,6716137,158704,6716137,158704,67.16137,1.58704
"Allen County, Indiana",367747,2377435,1763.6,52,0.479568834,3606736,80615,3606736,80615,36.06736,0.80615
"Allen County, Kansas",12752,116205,67.4,53,0.528544542,75095,145,75095,145,0.75095,0.00145
"Allen County, Kentucky",20628,131228,119.9,54,0.581248788,167988,3224,167988,3224,1.67988,0.03224
"Allen County, Ohio",104157,758423,590.8,55,0.567220638,990528,22156,990528,22156,9.90528,0.22156
"Allen Parish, Louisiana",25667,100404,96.5,56,0.375969143,,,,,,
"Allendale County, South Carolina",9402,41720,81.3,57,0.864709636,98135,1935,98135,1935,0.98135,0.01935
"Alpena County, Michigan",28730,215528,143.3,58,0.498781761,134917,5502,134917,5502,1.34917,0.05502
"Alpine County, California",1203,27448,19.8,59,1.645885287,6500,0,6500,0,0.065,0
"Amador County, California",37306,269813,97,60,0.260011794,242428,3953,242428,3953,2.42428,0.03953
"Amelia County, Virginia",12802,52405,25.9,61,0.202312139,58738,1327,58738,1327,0.58738,0.01327
"Amherst County, Virginia",31819,216525,119,62,0.373990383,203359,1220,203359,1220,2.03359,0.0122
"Amite County, Mississippi",12574,58763,70.4,63,0.559885478,126026,3400,126026,3400,1.26026,0.034
"Anchorage Municipality, Alaska",298225,2171948,469.3,64,0.157364406,,,,,,
"Anderson County, Kansas",7840,45136,25.7,65,0.327806122,68276,0,68276,0,0.68276,0
"Anderson County, Kentucky",22017,125542,54.9,66,0.249352773,120545,773,120545,773,1.20545,0.00773
"Anderson County, South Carolina",194174,925900,657.1,67,0.33840782,1773800,46995,1773800,46995,17.738,0.46995
"Anderson County, Tennessee",75538,459647,284.3,68,0.376366862,679022,9188,679022,9188,6.79022,0.09188
"Anderson County, Texas",57747,197127,199.5,69,0.345472492,818825,9836,818825,9836,8.18825,0.09836
"Andrew County, Missouri",17358,109039,37.2,70,0.214310404,135593,1691,135593,1691,1.35593,0.01691
"Andrews County, Texas",17577,132421,39.9,71,0.227001195,192683,3729,192683,3729,1.92683,0.03729
"Androscoggin County, Maine",107317,700902,488,72,0.454727583,397261,5386,397261,5386,3.97261,0.05386
"Angelina County, Texas",87700,374235,336.3,73,0.383466363,858327,24218,858327,24218,8.58327,0.24218
"Anne Arundel County, Maryland",564600,4463334,647.7,74,0.114718385,3958090,81722,3958090,81722,39.5809,0.81722
"Anoka County, Minnesota",344861,2810224,588.8,75,0.170735456,3600185,52312,3600185,52312,36.00185,0.52312
"Anson County, North Carolina",25531,118127,134.8,76,0.527985586,218709,3546,218709,3546,2.18709,0.03546
"Antelope County, Nebraska",6406,84642,36.8,77,0.574461442,50169,537,50169,537,0.50169,0.00537
"Antrim County, Michigan",23133,213199,83,78,0.358794795,84096,1145,84096,1145,0.84096,0.01145
"Apache County, Arizona",71602,223018,566.2,79,0.790760035,1300510,47717,1300510,47717,13.0051,0.47717
"Appanoose County, Iowa",12547,125723,83.1,80,0.662309715,115154,3744,115154,3744,1.15154,0.03744
"Appling County, Georgia",18471,101370,114.6,81,0.620432029,297268,8729,297268,8729,2.97268,0.08729
"Appomattox County, Virginia",15462,78949,42.7,82,0.276160911,106188,987,106188,987,1.06188,0.00987
"Aransas County, Texas",24832,172449,81.7,83,0.329010954,106300,4266,106300,4266,1.063,0.04266
